AoA_deg_Used,AoS_deg,delta_El_L,delta_Rud_R,CZ_body
20,-20,20,20,-1.108521934
30,-20,20,20,-1.59054378
45,-20,20,20,-1.739608055
-4,-20,20,-10,0.072169581
0,-20,20,-10,-0.09648365
4,-20,20,-10,-0.277721331
8,-20,20,-10,-0.483668446
12,-20,20,-10,-0.713537464
16,-20,20,-10,-0.936396752
20,-20,20,-10,-1.153420749
30,-20,20,-10,-1.584505883
45,-20,20,-10,-1.727328414
-4,-20,20,-20,0.063046477
0,-20,20,-20,-0.103628819
4,-20,20,-20,-0.285121067
8,-20,20,-20,-0.486660144
12,-20,20,-20,-0.709212829
16,-20,20,-20,-0.934635644
20,-20,20,-20,-1.170278149
30,-20,20,-20,-1.539655631
45,-20,20,-20,-1.731479928
-4,-20,-10,0,0.287833388
0,-20,-10,0,0.120443925
4,-20,-10,0,-0.065098749
8,-20,-10,0,-0.26979656
12,-20,-10,0,-0.48668955
16,-20,-10,0,-0.681729646
20,-20,-10,0,-0.937499912
30,-20,-10,0,-1.496211143
45,-20,-10,0,-1.754472247
-4,-20,-10,10,0.321040928
0,-20,-10,10,0.135557464
4,-20,-10,10,-0.049227103
8,-20,-10,10,-0.24430949
12,-20,-10,10,-0.454234774
16,-20,-10,10,-0.637671206
20,-20,-10,10,-0.906337085
30,-20,-10,10,-1.48818965
45,-20,-10,10,-1.712092783
-4,-20,-10,20,0.351225635
0,-20,-10,20,0.171995293
4,-20,-10,20,-0.012305387
8,-20,-10,20,-0.204691867
12,-20,-10,20,-0.413531916
16,-20,-10,20,-0.603430751
20,-20,-10,20,-0.887054292
30,-20,-10,20,-1.483441568
45,-20,-10,20,-1.729223993
-4,-20,-10,-10,0.280337803
0,-20,-10,-10,0.113611297
4,-20,-10,-10,-0.059391757
8,-20,-10,-10,-0.252548214
12,-20,-10,-10,-0.468413966
16,-20,-10,-10,-0.681440183
20,-20,-10,-10,-0.930691552
30,-20,-10,-10,-1.486263397
45,-20,-10,-10,-1.711893838
-4,-20,-10,-20,0.277012976
0,-20,-10,-20,0.113155595
4,-20,-10,-20,-0.0583195
8,-20,-10,-20,-0.244973422
12,-20,-10,-20,-0.459721453
16,-20,-10,-20,-0.676422762
20,-20,-10,-20,-0.930987918
30,-20,-10,-20,-1.434004435
45,-20,-10,-20,-1.730110629
-4,-20,-20,0,0.353869926
0,-20,-20,0,0.175821974
4,-20,-20,0,-0.010498529
8,-20,-20,0,-0.212409317
12,-20,-20,0,-0.440766449
16,-20,-20,0,-0.610983514
20,-20,-20,0,-0.861612932
30,-20,-20,0,-1.420751153
45,-20,-20,0,-1.71650003
-4,-20,-20,10,0.375443301
0,-20,-20,10,0.192443909
4,-20,-20,10,0.008359924
8,-20,-20,10,-0.185358686
12,-20,-20,10,-0.396455119
16,-20,-20,10,-0.560295467
20,-20,-20,10,-0.847348816
30,-20,-20,10,-1.371108747
45,-20,-20,10,-1.65878112
-4,-20,-20,20,0.425506345
0,-20,-20,20,0.240001032
4,-20,-20,20,0.059759634
8,-20,-20,20,-0.130113591
12,-20,-20,20,-0.348994792
16,-20,-20,20,-0.52362393
20,-20,-20,20,-0.817633103
30,-20,-20,20,-1.333672336
45,-20,-20,20,-1.683276909
-4,-20,-20,-10,0.333549503
0,-20,-20,-10,0.163977114
4,-20,-20,-10,-0.004814088
8,-20,-20,-10,-0.193728702
12,-20,-20,-10,-0.413044407
16,-20,-20,-10,-0.611071539
20,-20,-20,-10,-0.857100286
30,-20,-20,-10,-1.405937606
45,-20,-20,-10,-1.675911163
-4,-20,-20,-20,0.342554277
0,-20,-20,-20,0.176332157
4,-20,-20,-20,0.005009441
8,-20,-20,-20,-0.183539636
12,-20,-20,-20,-0.401556911
16,-20,-20,-20,-0.610276396
20,-20,-20,-20,-0.866283009
30,-20,-20,-20,-1.374846927
45,-20,-20,-20,-1.692772053
-4,10,0,0,0.194183266
0,10,0,0,0.019169893
4,10,0,0,-0.159994559
8,10,0,0,-0.350705022
12,10,0,0,-0.549456926
16,10,0,0,-0.753251332
20,10,0,0,-1.004753263
30,10,0,0,-1.447515917
45,10,0,0,-1.661037071
-4,10,0,10,0.194333668
0,10,0,10,0.0171445
4,10,0,10,-0.159152035
8,10,0,10,-0.344818805
12,10,0,10,-0.552665672
16,10,0,10,-0.774262451
20,10,0,10,-1.034225579
30,10,0,10,-1.493040677
45,10,0,10,-1.700837393
-4,10,0,20,0.185585074
0,10,0,20,0.013387579
4,10,0,20,-0.157701009
8,10,0,20,-0.341180294
12,10,0,20,-0.536911252
16,10,0,20,-0.761879774
20,10,0,20,-1.017048509
30,10,0,20,-1.38720657
45,10,0,20,-1.656101393
-4,10,0,-10,0.204730104
0,10,0,-10,0.022657903
4,10,0,-10,-0.160376103
8,10,0,-10,-0.346613129
12,10,0,-10,-0.535354183
16,10,0,-10,-0.742911466
20,10,0,-10,-0.99078264
30,10,0,-10,-1.483471027
45,10,0,-10,-1.680315663
-4,10,0,-20,0.208500168
0,10,0,-20,0.028999768
4,10,0,-20,-0.152829783
8,10,0,-20,-0.335857714
12,10,0,-20,-0.528012595
16,10,0,-20,-0.736036159
20,10,0,-20,-0.988284596
30,10,0,-20,-1.582489991
45,10,0,-20,-1.696380956
-4,10,10,0,0.126043817
0,10,10,0,-0.066697888
4,10,10,0,-0.251985817
8,10,10,0,-0.450193094
12,10,10,0,-0.657916127
16,10,10,0,-0.866153849
20,10,10,0,-1.105713722
30,10,10,0,-1.510452612
45,10,10,0,-1.739277925
-4,10,10,10,0.114992922
0,10,10,10,-0.067302105
4,10,10,10,-0.246345722
8,10,10,10,-0.439752255
12,10,10,10,-0.642599775
16,10,10,10,-0.867556208
20,10,10,10,-1.115573308
30,10,10,10,-1.419120532
45,10,10,10,-1.686563976
-4,10,10,20,0.1160773
0,10,10,20,-0.068348248
4,10,10,20,-0.247084569
8,10,10,20,-0.439536519
12,10,10,20,-0.642052803
16,10,10,20,-0.864372558
20,10,10,20,-1.114947224
30,10,10,20,-1.406891142
45,10,10,20,-1.690803577
-4,10,10,-10,0.135130921
0,10,10,-10,-0.060260295
4,10,10,-10,-0.246695434
8,10,10,-10,-0.438292736
12,10,10,-10,-0.64324119
16,10,10,-10,-0.854585726
20,10,10,-10,-1.103073497
30,10,10,-10,-1.537884098
45,10,10,-10,-1.758657369
-4,10,10,-20,0.139026561
0,10,10,-20,-0.049623556
4,10,10,-20,-0.234426082
8,10,10,-20,-0.430545097
12,10,10,-20,-0.638188546
16,10,10,-20,-0.846145901
20,10,10,-20,-1.084880324
30,10,10,-20,-1.537165486
45,10,10,-20,-1.733504251
-4,10,20,0,0.05988026
0,10,20,0,-0.127129903
4,10,20,0,-0.313285406
8,10,20,0,-0.51336952
12,10,20,0,-0.713613476
16,10,20,0,-0.923061507
20,10,20,0,-1.152814451
30,10,20,0,-1.497651066
45,10,20,0,-1.760421016
-4,10,20,10,0.047227696
0,10,20,10,-0.127799978
4,10,20,10,-0.31016136
8,10,20,10,-0.504012176
12,10,20,10,-0.707637119
16,10,20,10,-0.92323108
20,10,20,10,-1.144912163
30,10,20,10,-1.415312013
45,10,20,10,-1.704925115
-4,10,20,20,0.045670131
0,10,20,20,-0.131959404
4,10,20,20,-0.312650104
8,10,20,20,-0.503631702
12,10,20,20,-0.707504646
16,10,20,20,-0.928668524
20,10,20,20,-1.161259495
30,10,20,20,-1.417331155
45,10,20,20,-1.742701831
-4,10,20,-10,0.065368482
0,10,20,-10,-0.117295497
4,10,20,-10,-0.301961194
8,10,20,-10,-0.496405941
12,10,20,-10,-0.700993788
16,10,20,-10,-0.907321169
20,10,20,-10,-1.120317813
30,10,20,-10,-1.454300168
45,10,20,-10,-1.735297944
-4,10,20,-20,0.06485951
0,10,20,-20,-0.114512222
4,10,20,-20,-0.296462292
8,10,20,-20,-0.49311776
12,10,20,-20,-0.695011704
16,10,20,-20,-0.910118904
20,10,20,-20,-1.097326736
30,10,20,-20,-1.460807226
45,10,20,-20,-1.751546156
-4,10,-10,0,0.290016291
0,10,-10,0,0.107179239
4,10,-10,0,-0.078103515
8,10,-10,0,-0.270784889
12,10,-10,0,-0.46614835
16,10,-10,0,-0.668712634
20,10,-10,0,-0.915999515
30,10,-10,0,-1.511574579
45,10,-10,0,-1.67597914
-4,10,-10,10,0.281078809
0,10,-10,10,0.105825442
4,10,-10,10,-0.072225129
8,10,-10,10,-0.259417935
12,10,-10,10,-0.453152841
16,10,-10,10,-0.666881612
20,10,-10,10,-0.923773421
30,10,-10,10,-1.439623567
45,10,-10,10,-1.618745333
-4,10,-10,20,0.279984899
0,10,-10,20,0.101870885
4,10,-10,20,-0.074965229
8,10,-10,20,-0.260765205
12,10,-10,20,-0.458429731
16,10,-10,20,-0.668458679
20,10,-10,20,-0.922246791
30,10,-10,20,-1.418645635
45,10,-10,20,-1.629599463
-4,10,-10,-10,0.290513158
0,10,-10,-10,0.104144519
4,10,-10,-10,-0.083917984
8,10,-10,-10,-0.272814748
12,10,-10,-10,-0.456657464
16,10,-10,-10,-0.64845442
20,10,-10,-10,-0.890016654
30,10,-10,-10,-1.47419794
45,10,-10,-10,-1.629579442
-4,10,-10,-20,0.306608432
0,10,-10,-20,0.119862672
4,10,-10,-20,-0.066209834
8,10,-10,-20,-0.248740236
12,10,-10,-20,-0.436361712
16,10,-10,-20,-0.627380534
20,10,-10,-20,-0.884514382
30,10,-10,-20,-1.495969187
45,10,-10,-20,-1.646770552
-4,10,-20,0,0.351521774
0,10,-20,0,0.164073498
4,10,-20,0,-0.022221895
8,10,-20,0,-0.2118492
12,10,-20,0,-0.412354261
16,10,-20,0,-0.608105363
20,10,-20,0,-0.839962652
30,10,-20,0,-1.450531451
45,10,-20,0,-1.640056806
-4,10,-20,10,0.345341521
0,10,-20,10,0.166328464
4,10,-20,10,-0.011962324
8,10,-20,10,-0.197439547
12,10,-20,10,-0.397408028
16,10,-20,10,-0.606990233
20,10,-20,10,-0.846743662
30,10,-20,10,-1.423126303
45,10,-20,10,-1.586230863
-4,10,-20,20,0.351243552
0,10,-20,20,0.17336209
4,10,-20,20,-0.009592675
8,10,-20,20,-0.194270738
12,10,-20,20,-0.390424475
16,10,-20,20,-0.60215471
20,10,-20,20,-0.841964423
30,10,-20,20,-1.413409722
45,10,-20,20,-1.60164554
-4,10,-20,-10,0.353144618
0,10,-20,-10,0.165641933
4,10,-20,-10,-0.023694959
8,10,-20,-10,-0.214144956
12,10,-20,-10,-0.403727001
16,10,-20,-10,-0.586997854
20,10,-20,-10,-0.80800559
30,10,-20,-10,-1.436573593
45,10,-20,-10,-1.589277384
-4,10,-20,-20,0.384457179
0,10,-20,-20,0.191988258
4,10,-20,-20,0.004030779
8,10,-20,-20,-0.182961532
12,10,-20,-20,-0.371835605
16,10,-20,-20,-0.559339317
20,10,-20,-20,-0.791824613
30,10,-20,-20,-1.425771184
45,10,-20,-20,-1.593143431
-4,20,0,0,0.217321104
0,20,0,0,0.043746042
4,20,0,0,-0.137000422
8,20,0,0,-0.336047802
12,20,0,0,-0.556850031
16,20,0,0,-0.751325018
20,20,0,0,-1.012444748
30,20,0,0,-1.627713197
45,20,0,0,-1.723053845
-4,20,0,10,0.189242666
0,20,0,10,0.026864078
4,20,0,10,-0.148485584
8,20,0,10,-0.343591745
12,20,0,10,-0.560830088
16,20,0,10,-0.783544669
20,20,0,10,-1.044845241
30,20,0,10,-1.523527142
45,20,0,10,-1.762783714
-4,20,0,20,0.191060895
0,20,0,20,0.028574085
4,20,0,20,-0.140933473
8,20,0,20,-0.3256593
12,20,0,20,-0.542738817
16,20,0,20,-0.770531854
20,20,0,20,-1.021052224
30,20,0,20,-1.486640591
45,20,0,20,-1.726603913
-4,20,0,-10,0.241971749
0,20,0,-10,0.058820714
4,20,0,-10,-0.12625859
8,20,0,-10,-0.321230777
12,20,0,-10,-0.536294896
16,20,0,-10,-0.716432002
20,20,0,-10,-0.992179721
30,20,0,-10,-1.576796251
45,20,0,-10,-1.729380814
-4,20,0,-20,0.261978348
0,20,0,-20,0.081782146
4,20,0,-20,-0.101266663
8,20,0,-20,-0.293329153
12,20,0,-20,-0.501604286
16,20,0,-20,-0.701660704
20,20,0,-20,-0.986003267
30,20,0,-20,-1.571141041
45,20,0,-20,-1.734875192
-4,20,10,0,0.13242319
0,20,10,0,-0.041219779
4,20,10,0,-0.229770379
8,20,10,0,-0.440170638
12,20,10,0,-0.673846534
16,20,10,0,-0.869264785
20,20,10,0,-1.12680835
30,20,10,0,-1.610171354
45,20,10,0,-1.766865771
-4,20,10,10,0.129634146
0,20,10,10,-0.0459138
4,20,10,10,-0.227074897
8,20,10,10,-0.428250957
12,20,10,10,-0.658355893
16,20,10,10,-0.886994434
20,20,10,10,-1.11065284
30,20,10,10,-1.57448402
45,20,10,10,-1.735066745
-4,20,10,20,0.12477147
0,20,10,20,-0.046954537
4,20,10,20,-0.226546728
8,20,10,20,-0.421729494
12,20,10,20,-0.643209881
16,20,10,20,-0.87532834
20,20,10,20,-1.119326336
30,20,10,20,-1.527044568
45,20,10,20,-1.741786042
-4,20,10,-10,0.144246915
0,20,10,-10,-0.032098374
4,20,10,-10,-0.220542357
8,20,10,-10,-0.43448737
12,20,10,-10,-0.66895128
16,20,10,-10,-0.841140059
20,20,10,-10,-1.109504323
30,20,10,-10,-1.638232517
45,20,10,-10,-1.768428384
-4,20,10,-20,0.188372629
0,20,10,-20,0.008961538
4,20,10,-20,-0.18143807
8,20,10,-20,-0.387918123
12,20,10,-20,-0.616417292
16,20,10,-20,-0.808381499
20,20,10,-20,-1.078841401
30,20,10,-20,-1.612824835
45,20,10,-20,-1.744319364
-4,20,20,0,0.071544169
0,20,20,0,-0.094671417
4,20,20,0,-0.282252793
8,20,20,0,-0.493724876
12,20,20,0,-0.730224015
16,20,20,0,-0.950783844
20,20,20,0,-1.151812505
30,20,20,0,-1.601486719
45,20,20,0,-1.752141664
-4,20,20,10,0.072169581
0,20,20,10,-0.09648365
4,20,20,10,-0.277721331
8,20,20,10,-0.483668446
12,20,20,10,-0.713537464
16,20,20,10,-0.936396752
20,20,20,10,-1.153420749
30,20,20,10,-1.584505883
45,20,20,10,-1.727328414
-4,20,20,20,0.063046477
0,20,20,20,-0.103628819
4,20,20,20,-0.285121067
8,20,20,20,-0.486660144
12,20,20,20,-0.709212829
16,20,20,20,-0.934635644
20,20,20,20,-1.170278149
30,20,20,20,-1.539655631
45,20,20,20,-1.731479928
-4,20,20,-10,0.113314691
0,20,20,-10,-0.066067128
4,20,20,-10,-0.255455262
8,20,20,-10,-0.464437272
12,20,20,-10,-0.694011541
16,20,20,-10,-0.923895885
20,20,20,-10,-1.103037739
30,20,20,-10,-1.606076394
45,20,20,-10,-1.722236484
-4,20,20,-20,0.125947997
0,20,20,-20,-0.051927274
4,20,20,-20,-0.236605985
8,20,20,-20,-0.448261724
12,20,20,-20,-0.680100727
16,20,20,-20,-0.922746368
20,20,20,-20,-1.108521934
30,20,20,-20,-1.59054378
45,20,20,-20,-1.739608055
-4,20,-10,0,0.287833388
0,20,-10,0,0.120443925
4,20,-10,0,-0.065098749
8,20,-10,0,-0.26979656
12,20,-10,0,-0.48668955
16,20,-10,0,-0.681729646
20,20,-10,0,-0.937499912
30,20,-10,0,-1.496211143
45,20,-10,0,-1.754472247
-4,20,-10,10,0.280337803
0,20,-10,10,0.113611297
4,20,-10,10,-0.059391757
8,20,-10,10,-0.252548214
12,20,-10,10,-0.468413966
16,20,-10,10,-0.681440183
20,20,-10,10,-0.930691552
30,20,-10,10,-1.486263397
45,20,-10,10,-1.711893838
-4,20,-10,20,0.277012976
0,20,-10,20,0.113155595
4,20,-10,20,-0.0583195
8,20,-10,20,-0.244973422
12,20,-10,20,-0.459721453
16,20,-10,20,-0.676422762
20,20,-10,20,-0.930987918
30,20,-10,20,-1.434004435
45,20,-10,20,-1.730110629
-4,20,-10,-10,0.321040928
0,20,-10,-10,0.135557464
4,20,-10,-10,-0.049227103
8,20,-10,-10,-0.24430949
12,20,-10,-10,-0.454234774
16,20,-10,-10,-0.637671206
20,20,-10,-10,-0.906337085
30,20,-10,-10,-1.48818965
45,20,-10,-10,-1.712092783
-4,20,-10,-20,0.351225635
0,20,-10,-20,0.171995293
4,20,-10,-20,-0.012305387
8,20,-10,-20,-0.204691867
12,20,-10,-20,-0.413531916
16,20,-10,-20,-0.603430751
20,20,-10,-20,-0.887054292
30,20,-10,-20,-1.483441568
45,20,-10,-20,-1.729223993
-4,20,-20,0,0.353869926
0,20,-20,0,0.175821974
4,20,-20,0,-0.010498529
8,20,-20,0,-0.212409317
12,20,-20,0,-0.440766449
16,20,-20,0,-0.610983514
20,20,-20,0,-0.861612932
30,20,-20,0,-1.420751153
45,20,-20,0,-1.71650003
-4,20,-20,10,0.333549503
0,20,-20,10,0.163977114
4,20,-20,10,-0.004814088
8,20,-20,10,-0.193728702
12,20,-20,10,-0.413044407
16,20,-20,10,-0.611071539
20,20,-20,10,-0.857100286
30,20,-20,10,-1.405937606
45,20,-20,10,-1.675911163
-4,20,-20,20,0.342554277
0,20,-20,20,0.176332157
4,20,-20,20,0.005009441
8,20,-20,20,-0.183539636
12,20,-20,20,-0.401556911
16,20,-20,20,-0.610276396
20,20,-20,20,-0.866283009
30,20,-20,20,-1.374846927
45,20,-20,20,-1.692772053
-4,20,-20,-10,0.375443301
0,20,-20,-10,0.192443909
4,20,-20,-10,0.008359924
8,20,-20,-10,-0.185358686
12,20,-20,-10,-0.396455119
16,20,-20,-10,-0.560295467
20,20,-20,-10,-0.847348816
30,20,-20,-10,-1.371108747
45,20,-20,-10,-1.65878112
-4,20,-20,-20,0.425506345
0,20,-20,-20,0.240001032
4,20,-20,-20,0.059759634
8,20,-20,-20,-0.130113591
12,20,-20,-20,-0.348994792
16,20,-20,-20,-0.52362393
20,20,-20,-20,-0.817633103
30,20,-20,-20,-1.333672336
45,20,-20,-20,-1.683276909